base_ber,base_correct_fraction,complete_recovery,condition_count,cover_stego_psnr,cover_stego_ssim,detail_ber,detail_correct_fraction,method,observation_count,operational_failure_count,pair_id,payload_correct_fraction,peak_memory_bytes,raw_ber,raw_secret_correct_fraction,reconstruction_ncc,reconstruction_psnr,reconstruction_ssim,runtime_seconds,unknown_bit_fraction,valid_base_only_recovery
0.0,0.1,0.1,10,45.000009005482426,0.9937994721806908,0.0,0.1,C3_NP,22,0,coco-000000142971-000000533206,0.1,156331758.93333334,0.307281735324099,1.0,1.0,,1.0,1.9556848902999264,0.9,0.1
,,0.1,10,45.71836196787742,0.9921735933284779,,,B1,22,0,coco-000000166165-000000213033,0.7022872924804687,156581751.46666667,0.29771270751953127,0.7022872924804687,0.8221095102448125,12.702892573484334,0.2965463253975594,0.012018741100170397,0.0,
,,0.0,10,,,,,B2,22,0,coco-000000166165-000000213033,,157029034.6666667,,,,,,,,
0.0,0.1,0.1,10,45.00000094864638,0.9866679288934398,0.0,0.1,C0,22,0,coco-000000166165-000000213033,0.1,156300356.26666668,0.31231081729327814,1.0,1.0,,1.0,3.0616625851665957,0.9,0.1
0.0,0.1,0.1,10,45.00001706233342,0.9869392705640866,0.0,0.1,C1,22,0,coco-000000166165-000000213033,0.1,155922705.0666667,0.3102467470168495,1.0,1.0,,1.0,2.150920524499998,0.9,0.1
0.0,0.1,0.1,10,45.00000094864638,0.9866554853844924,0.0,0.1,C2,22,0,coco-000000166165-000000213033,0.1,156055278.9333333,0.3123554895964502,1.0,1.0,,1.0,2.0422989837000083,0.9,0.1
0.0,0.1,0.1,10,45.000009005482426,0.9869149438970611,0.0,0.1,C3,22,0,coco-000000166165-000000213033,0.1,156121634.13333333,0.311057294477424,1.0,1.0,,1.0,2.7301928790334085,0.9,0.1
0.0,0.1,0.1,10,45.00001706233342,0.986930649978462,0.0,0.1,C3_NP,22,0,coco-000000166165-000000213033,0.1,156282743.46666664,0.3109454638124363,1.0,1.0,,1.0,2.257573209800042,0.9,0.1
,,0.1,10,45.57732574388931,0.9864317280145956,,,B1,22,0,coco-000000167353-000000257896,0.7031328837076823,156154811.73333335,0.2968671162923177,0.7031328837076823,0.8069314452492673,12.515458334279517,0.2975622641850547,0.008720082099353021,0.0,
,,0.1,10,44.80121007311483,0.9780388907206194,,,B2,22,0,coco-000000167353-000000257896,0.6141766866048177,156108253.86666664,0.38582331339518233,0.6141766866048177,0.7107656247119627,9.05845194122819,0.15652209524217514,0.014037839299696014,0.0,
0.0,0.1,0.1,10,45.000009005482426,0.9792742578777769,0.0,0.1,C0,22,0,coco-000000167353-000000257896,0.1,156417638.4,0.3122103795646699,1.0,1.0,,1.0,2.1629149546000916,0.9,0.1
0.0,0.1,0.1,10,45.00004123297608,0.9792852428579051,0.0,0.1,C1,22,0,coco-000000167353-000000257896,0.1,156341179.73333332,0.3116590214067278,1.0,1.0,,1.0,3.139937451333389,0.9,0.1
0.0,0.1,0.1,10,45.00003317608025,0.9792774931586605,0.0,0.1,C2,22,0,coco-000000167353-000000257896,0.1,156181026.13333333,0.3128647238711999,1.0,1.0,,1.0,2.63648568689993,0.9,0.1
0.0,0.1,0.1,10,45.000009005482426,0.9792892331301181,0.0,0.1,C3,22,0,coco-000000167353-000000257896,0.1,156529049.59999996,0.31122429093961745,1.0,1.0,,1.0,1.8676874625336495,0.9,0.1
0.0,0.1,0.1,10,45.000009005482426,0.9793196512029437,0.0,0.1,C3_NP,22,0,coco-000000167353-000000257896,0.1,156340770.13333336,0.31153579780536067,1.0,1.0,,1.0,1.8635591616670357,0.9,0.1
,,0.1,10,46.365431258118754,0.9935132783397622,,,B1,22,0,coco-000000170099-000000214205,0.702350107828776,156875980.79999998,0.29764989217122395,0.702350107828776,0.9186235801035536,14.633861775966466,0.23485476853951362,0.01093264250030188,0.0,
,,0.1,10,44.723680490452075,0.9875231062721836,,,B2,22,0,coco-000000170099-000000214205,0.596906026204427,156378043.73333335,0.40309397379557294,0.596906026204427,0.8375927389568283,9.871012523508794,0.11805551955295353,0.016745690333300443,0.0,
0.0,0.1,0.1,10,45.000009005482426,0.9889665491010756,0.0,0.1,C0,22,0,coco-000000170099-000000214205,0.1,156034389.3333333,0.30792168855309704,1.0,1.0,,1.0,2.395658248566603,0.9,0.1
0.0,0.1,0.1,10,45.000009005482426,0.9888339234900924,0.0,0.1,C1,22,0,coco-000000170099-000000214205,0.1,156288068.26666665,0.3065233555195779,1.0,1.0,,1.0,1.945941545633347,0.9,0.1
0.0,0.1,0.1,10,45.00001706233342,0.988973825540494,0.0,0.1,C2,22,0,coco-000000170099-000000214205,0.1,156444672.0,0.30777507945074056,1.0,1.0,,1.0,1.8673300718001582,0.9,0.1
0.0,0.1,0.1,10,45.00002511919936,0.9888299321622457,0.0,0.1,C3,22,0,coco-000000170099-000000214205,0.1,156409719.46666667,0.30652140672782874,1.0,1.0,,1.0,2.9251684361999652,0.9,0.1
0.0,0.1,0.1,10,45.000009005482426,0.9888142719170994,0.0,0.1,C3_NP,22,0,coco-000000170099-000000214205,0.1,156496827.73333332,0.3061530850872459,1.0,1.0,,1.0,2.380675340099818,0.9,0.1
,,0.1,10,45.576727635280065,0.9924644188112207,,,B1,22,0,coco-000000170116-000000127494,0.7006914774576822,156705860.26666668,0.29930852254231766,0.7006914774576822,0.7919319855049116,12.139541478378387,0.31863244642522387,0.0073479560999961295,0.0,
,,0.1,10,44.86938564973763,0.9872420365175701,,,B2,22,0,coco-000000170116-000000127494,0.6147623697916667,156881169.06666666,0.38523763020833335,0.6147623697916667,0.6774232821572416,8.51497751565464,0.1599939216992455,0.012985365866673721,0.0,
0.0,0.1,0.1,10,45.000009005482426,0.9881246425726993,0.0,0.1,C0,22,0,coco-000000170116-000000127494,0.1,156473480.53333333,0.3094275049469329,1.0,1.0,,1.0,1.9733295112665172,0.9,0.1
0.0,0.1,0.1,10,45.00002511919936,0.9878555266151731,0.0,0.1,C1,22,0,coco-000000170116-000000127494,0.1,156779042.13333333,0.3081318582478863,1.0,1.0,,1.0,1.8136995622332202,0.9,0.1
